state	account_length	area_code	phone_number	international_plan	voice_mail_plan	number_vmail_messages	total_day_minutes	total_day_calls	total_day_charge	total_eve_minutes	total_eve_calls	total_eve_charge	total_night_minutes	total_night_calls	total_night_charge	total_intl_minutes	total_intl_calls	total_intl_charge	number_customer_service_calls	class
NH	54	510	353-3351	0	0	0	210.5	102	35.79	204.5	83	17.38	127.8	53	5.75	8.5	5	2.3	1	0
MS	150	510	417-6252	0	0	0	126	99	21.42	238.5	73	20.27	285.1	100	12.83	10.2	6	2.75	3	0
WV	43	415	393-4949	0	0	0	168.4	125	28.63	243.8	89	20.72	214.7	102	9.66	11.1	2	3	1	0
MA	35	415	401-3156	0	0	0	105.6	129	17.95	258.2	129	21.95	213.1	77	9.59	8.7	3	2.35	0	0
MD	98	415	338-6283	0	0	0	206.5	92	35.11	176.2	152	14.98	232.8	115	10.48	12.4	5	3.35	5	0
PA	112	510	352-9017	0	0	0	217.1	76	36.91	205.2	100	17.44	185.7	91	8.36	9.4	3	2.54	2	0
WI	16	510	405-5305	0	0	0	229.6	78	39.03	205.7	108	17.48	166.2	91	7.48	10.8	2	2.92	0	1
IL	84	510	378-1303	0	0	0	181.5	129	30.86	130.7	112	11.11	186.5	118	8.39	8.5	4	2.3	1	0
DC	66	415	402-5155	0	0	0	167.3	91	28.44	230	68	19.55	191.7	118	8.63	10.6	5	2.86	1	1
UT	96	408	410-4023	0	1	26	145.8	108	24.79	192.2	89	16.34	165.1	96	7.43	9.9	2	2.67	1	0
KY	119	510	411-7649	0	0	0	222.8	122	37.88	163.2	107	13.87	160.6	112	7.23	11.2	6	3.02	1	0
WI	92	415	421-9401	1	0	0	264.3	91	44.93	160.9	115	13.68	198.6	73	8.94	9.3	5	2.51	0	0
IL	21	415	343-9658	0	0	0	146	78	24.82	109.7	79	9.32	247.4	108	11.13	6.8	7	1.84	0	0
DE	122	510	332-5521	0	0	0	157.1	134	26.71	184.9	122	15.72	197.2	59	8.87	8.5	5	2.3	4	1
RI	133	510	349-4369	1	0	0	127.3	108	21.64	251.3	81	21.36	135	88	6.08	10.3	3	2.78	1	0
TX	145	415	351-4288	0	0	0	187.9	110	31.94	197	117	16.75	167	108	7.52	4.8	4	1.3	2	0
NV	64	415	396-2324	0	0	0	97.2	80	16.52	186.2	90	15.83	189	92	8.5	10.4	6	2.81	2	0
NE	85	415	416-5662	0	0	0	259.8	85	44.17	242.3	117	20.6	168.8	72	7.6	5.4	1	1.46	0	0
MS	126	415	363-9663	0	0	0	256.5	112	43.61	199.5	90	16.96	188.3	122	8.47	7	5	1.89	3	0
DE	224	510	361-6563	1	0	0	171.5	99	29.16	160	103	13.6	212.4	102	9.56	5	2	1.35	1	1
SD	128	408	372-8048	0	1	34	142.3	73	24.19	194.8	79	16.56	239.3	81	10.77	16	6	4.32	1	0
NM	141	415	351-9604	0	1	28	206.9	126	35.17	264.4	126	22.47	171.8	124	7.73	9.3	11	2.51	2	0
NJ	100	415	396-5189	0	0	0	203.8	122	34.65	283.1	76	24.06	197.3	83	8.88	12.5	3	3.38	0	0
IN	96	415	356-9187	0	1	45	248.8	124	42.3	140.3	77	11.93	263.6	102	11.86	10.3	2	2.78	3	0
DC	112	415	394-5537	0	1	16	221.6	110	37.67	130.2	123	11.07	200	108	9	11.3	3	3.05	1	0
MA	129	510	408-2712	1	0	0	192.9	131	32.79	185.5	101	15.77	205.2	130	9.23	10.9	4	2.94	1	0
ME	163	415	404-4486	0	0	0	122.4	129	20.81	113.4	108	9.64	180.2	97	8.11	12.5	7	3.38	1	0
OR	49	510	376-4519	0	0	0	119.4	69	20.3	273.3	92	23.23	214.4	153	9.65	12.4	7	3.35	2	0
KS	46	510	365-5979	0	0	0	250.3	100	42.55	260.6	90	22.15	195	104	8.78	13.3	2	3.59	2	1
NE	148	415	382-2879	0	0	0	178.3	98	30.31	282.6	110	24.02	181	98	8.15	11.4	4	3.08	1	0
MI	112	510	420-1383	0	0	0	243.4	77	41.38	182.1	97	15.48	259.2	94	11.66	12.8	2	3.46	1	0
SC	78	415	411-7390	0	0	0	155	106	26.35	175.3	101	14.9	155.6	125	7	11.8	5	3.19	2	0
PA	61	408	383-8848	0	1	31	288.7	101	49.08	203.8	102	17.32	203.2	49	9.14	8.6	3	2.32	0	0
MT	58	510	387-9301	0	1	29	240.4	80	40.87	118.9	91	10.11	164.2	108	7.39	11.2	3	3.02	1	0
FL	99	408	336-2090	0	0	0	155.3	93	26.4	265.7	95	22.58	145.7	67	6.56	12.4	4	3.35	0	0
TX	70	510	390-5470	0	0	0	59.5	103	10.12	257.2	106	21.86	208.3	86	9.37	11.1	6	3	0	0
TX	88	510	414-4803	0	0	0	138.3	116	23.51	236	138	20.06	179.1	110	8.06	9.6	4	2.59	3	0
GA	75	415	333-7637	0	0	0	117.3	114	19.94	201.1	61	17.09	107.9	82	4.86	12.2	3	3.29	1	0
ID	79	510	341-1647	0	1	21	264.3	79	44.93	202.8	118	17.24	173.4	92	7.8	6.3	3	1.7	4	0
LA	149	415	328-7209	0	1	20	198.9	77	33.81	274	88	23.29	190.7	76	8.58	14.3	9	3.86	1	0
MA	88	415	418-6737	0	0	0	264.8	124	45.02	245.4	112	20.86	160.5	115	7.22	14.8	2	4	1	1
KY	54	408	356-1420	0	0	0	159.8	99	27.17	264	64	22.44	115.7	70	5.21	9.7	7	2.62	2	0
DC	11	415	343-1323	0	1	28	190.6	86	32.4	220.1	122	18.71	180.3	80	8.11	6	3	1.62	3	0
UT	90	415	384-1621	0	0	0	261.8	128	44.51	220.6	104	18.75	136.6	91	6.15	9.6	5	2.59	1	0
RI	115	408	360-3525	0	0	0	147.9	109	25.14	228.4	117	19.41	299.7	90	13.49	9.6	9	2.59	3	0
NV	91	408	337-6898	0	0	0	133.7	75	22.73	195.3	87	16.6	280.5	89	12.62	5.9	2	1.59	0	0
ND	105	415	366-8036	0	1	23	193.5	85	32.9	220.2	90	18.72	272.4	111	12.26	8.5	5	2.3	0	0
NV	71	415	352-8327	1	0	0	178.2	113	30.29	167.8	94	14.26	182.1	111	8.19	13.6	3	3.67	3	1
AL	41	510	369-6880	0	1	34	194.4	63	33.05	254.9	110	21.67	160.2	115	7.21	17.2	9	4.64	2	0
IL	149	408	379-2514	0	0	0	69.1	117	11.75	136.3	100	11.59	181.7	53	8.18	6.3	3	1.7	1	0
WV	72	510	418-6651	0	1	33	96.6	59	16.42	315.4	98	26.81	163.3	117	7.35	6.2	4	1.67	4	1
MI	139	415	421-3528	0	1	20	214.6	101	36.48	235.1	132	19.98	162.8	132	7.33	14.8	12	4	0	0
AR	74	510	329-9046	0	0	0	148.5	111	25.25	146.5	42	12.45	289.2	83	13.01	9.9	6	2.67	3	0
UT	50	510	406-3890	0	0	0	258.1	106	43.88	161.4	106	13.72	225.1	110	10.13	11.7	5	3.16	1	0
MD	74	415	331-9293	0	0	0	155.7	116	26.47	173.7	63	14.76	257.4	97	11.58	8.1	4	2.19	0	0
GA	117	510	347-1914	0	0	0	149.9	95	25.48	256.1	110	21.77	212.7	92	9.57	13.3	13	3.59	2	0
GA	85	510	395-1962	0	0	0	222.3	132	37.79	231.5	101	19.68	223.5	75	10.06	11	2	2.97	3	0
UT	36	415	401-5485	0	1	16	149.4	111	25.4	131.8	113	11.2	132.7	87	5.97	6.7	2	1.81	0	0
IN	76	415	363-3911	0	0	0	204.2	100	34.71	292.6	139	24.87	244.3	105	10.99	10.5	2	2.84	0	0
RI	129	415	366-7360	0	1	33	119.6	104	20.33	278.7	88	23.69	263.4	175	11.85	5.9	2	1.59	2	0
FL	161	415	390-7328	1	0	0	156.1	114	26.54	180.3	63	15.33	179.6	115	8.08	11.1	9	3	2	0
CA	93	415	356-5491	0	1	36	178.7	134	30.38	178.6	102	15.18	126.8	82	5.71	8	4	2.16	2	0
AL	144	415	373-3251	0	0	0	177.5	93	30.18	287.4	75	24.43	180.5	118	8.12	11.9	3	3.21	2	0
ME	75	408	343-1965	1	0	0	211.3	61	35.92	105.6	119	8.98	175.9	63	7.92	9.7	4	2.62	4	1
FL	124	415	397-1649	0	1	28	251.4	104	42.74	225.1	89	19.13	251.9	121	11.34	7.5	5	2.03	1	0
MI	93	415	366-7247	1	0	0	216.9	61	36.87	207.4	120	17.63	221.7	110	9.98	17.5	5	4.73	1	1
MS	118	415	397-9148	0	1	26	170.8	114	29.04	199.5	125	16.96	169.7	98	7.64	9.6	5	2.59	5	1
NE	73	415	354-7314	0	0	0	198.3	94	33.71	279.3	101	23.74	146.2	87	6.58	14.8	8	4	3	0
VA	62	408	346-5611	0	0	0	172.8	101	29.38	204.8	97	17.41	240.8	90	10.84	9.1	8	2.46	2	0
AL	60	408	411-7778	1	1	29	265.9	113	45.2	215.8	94	18.34	108.1	82	4.86	14	12	3.78	0	1
OK	52	408	389-4780	0	0	0	214.7	68	36.5	158.6	138	13.48	123.4	114	5.55	9.4	4	2.54	2	0
WV	112	415	380-5286	0	0	0	261.4	108	44.44	154.5	102	13.13	130.9	90	5.89	11.6	2	3.13	1	0
SC	88	510	394-8402	0	0	0	73.3	86	12.46	161.4	82	13.72	239.6	76	10.78	8.2	3	2.21	4	1
IL	87	510	390-4152	0	0	0	231.3	105	39.32	171.7	108	14.59	67.7	136	3.05	13	6	3.51	1	0
MI	30	510	391-6607	0	0	0	227.4	88	38.66	182.5	100	15.51	191.7	134	8.63	12.5	3	3.38	0	0
ID	46	415	384-1833	0	0	0	124.8	133	21.22	157.3	143	13.37	199.3	72	8.97	8.6	4	2.32	2	0
DC	100	510	403-2455	1	0	0	68.5	110	11.65	337.1	115	28.65	205.2	99	9.23	12.1	9	3.27	0	0
OR	98	415	366-4334	0	1	38	213.7	61	36.33	253	104	21.51	207.7	73	9.35	10.7	5	2.89	2	0
OK	125	415	406-5059	0	1	36	201.3	117	34.22	42.2	78	3.59	125.7	104	5.66	5.4	3	1.46	1	0
LA	67	510	373-6784	0	0	0	310.4	97	52.77	66.5	123	5.65	246.5	99	11.09	9.2	10	2.48	4	0
NE	194	408	408-3532	0	0	0	48.4	101	8.23	281.1	138	23.89	218.5	87	9.83	18.2	1	4.91	1	0
TX	128	415	350-8680	0	1	40	171.2	88	29.1	145.7	109	12.38	196.8	93	8.86	14	6	3.78	1	0
OR	165	415	343-3356	0	0	0	216.6	126	36.82	190.8	104	16.22	224.7	123	10.11	12.4	8	3.35	0	0
MN	152	415	416-2778	1	1	20	237.5	120	40.38	253.4	94	21.54	265.2	80	11.93	14.2	3	3.83	9	1
NC	26	415	393-3300	0	0	0	234.5	109	39.87	216.5	129	18.4	191.6	94	8.62	3.5	6	0.95	3	0
RI	95	510	339-4317	0	1	27	129.5	106	22.02	248.9	90	21.16	268	115	12.06	11.9	3	3.21	1	0
VT	95	510	378-3508	1	1	41	136.8	91	23.26	200.8	61	17.07	133.7	67	6.02	10.3	9	2.78	5	1
CT	31	415	390-9359	0	1	31	100.1	54	17.02	246.3	97	20.94	255	131	11.48	5.9	3	1.59	0	0
UT	61	510	402-9980	1	0	0	78.2	103	13.29	195.9	149	16.65	108	100	4.86	10.1	6	2.73	2	0
NJ	123	408	336-1749	0	0	0	159.5	77	27.12	303.8	92	25.82	226.9	120	10.21	12	4	3.24	0	0
TX	58	408	420-1259	0	1	20	194.5	110	33.07	213.7	89	18.16	236.6	92	10.65	9.5	2	2.57	1	0
MT	74	408	339-7541	0	0	0	174.1	96	29.6	251.1	94	21.34	257.6	123	11.59	8.3	5	2.24	2	1
CO	125	415	378-9029	0	0	0	131.8	97	22.41	136.7	100	11.62	308.2	119	13.87	7.7	6	2.08	2	0
VT	80	415	342-7514	0	0	0	160.6	103	27.3	237	109	20.15	245.1	88	11.03	10.7	1	2.89	1	0
RI	53	408	422-4956	0	1	18	146.8	107	24.96	310	84	26.35	178.7	130	8.04	7.2	7	1.94	0	0
WY	99	408	389-8606	0	1	28	200.7	88	34.12	264.2	116	22.46	172.7	102	7.77	9.1	5	2.46	1	0
CT	66	415	417-7973	0	1	29	229.4	104	39	257.4	84	21.88	231.5	119	10.42	8	1	2.16	2	0
AZ	75	510	385-7387	0	1	37	121.5	97	20.66	271.4	110	23.07	248.7	97	11.19	11.3	5	3.05	2	0
MD	85	510	362-2776	1	0	0	216	73	36.72	188.2	117	16	147.1	98	6.62	3.6	7	0.97	2	0
DE	51	510	406-2454	0	0	0	181.5	108	30.86	196.9	87	16.74	187.2	119	8.42	10.3	2	2.78	1	0
FL	64	408	410-7108	0	1	31	228.6	88	38.86	248.5	109	21.12	167.1	124	7.52	9	1	2.43	3	0
WV	44	510	419-1674	0	0	0	228.1	121	38.78	276.5	79	23.5	279.8	77	12.59	9.9	5	2.67	2	1
OR	110	408	333-3421	0	0	0	149.8	112	25.47	180	93	15.3	140	119	6.3	11.7	4	3.16	2	0
CO	90	408	393-8199	0	1	30	183.8	76	31.25	229.7	95	19.52	144.1	124	6.48	7.7	3	2.08	1	0
PA	171	415	416-1557	0	1	25	223.2	77	37.94	183.2	118	15.57	150.8	90	6.79	10.2	3	2.75	3	0
NM	104	415	356-7217	0	0	0	164.2	109	27.91	155.4	90	13.21	168.9	117	7.6	10.7	8	2.89	1	0
SD	104	510	420-9838	0	0	0	234.2	128	39.81	293.1	92	24.91	183.9	79	8.28	9.8	6	2.65	0	1
AR	110	408	373-6379	0	0	0	55.3	102	9.4	164.7	124	14	200.7	108	9.03	10.2	5	2.75	1	0
NH	114	415	406-4588	0	0	0	169.6	85	28.83	58.9	86	5.01	179.3	124	8.07	7.4	8	2	1	0
PA	82	408	359-6163	0	0	0	125.7	96	21.37	207.6	137	17.65	183.1	103	8.24	12.9	2	3.48	1	0
OK	92	510	411-8140	0	0	0	176.3	85	29.97	93.4	125	7.94	207.2	107	9.32	9.6	1	2.59	2	0
WV	90	415	344-4478	0	0	0	205.7	138	34.97	161.9	83	13.76	269.7	104	12.14	12.5	6	3.38	2	0
HI	87	408	360-2690	0	1	28	151.4	95	25.74	152.4	97	12.95	250.1	109	11.25	0	0	0	1	0
NY	39	408	356-1889	0	0	0	160.4	68	27.27	102.6	103	8.72	235.3	106	10.59	9.1	5	2.46	2	0
AZ	84	415	341-2360	0	0	0	159	80	27.03	167.9	128	14.27	167.6	101	7.54	12.3	5	3.32	1	0
OH	75	510	370-3021	0	1	46	214.1	62	36.4	200.9	111	17.08	246.8	126	11.11	9.2	6	2.48	0	0
MA	62	415	386-2810	1	0	0	159.7	86	27.15	197.5	76	16.79	121.6	105	5.47	13.9	6	3.75	0	1
WY	28	415	392-6856	0	0	0	187.8	94	31.93	248.6	86	21.13	208.8	124	9.4	10.6	5	2.86	0	0
OR	151	510	339-1405	0	0	0	156.4	108	26.59	233.4	118	19.84	195.7	141	8.81	7.7	6	2.08	4	0
UT	48	510	340-3075	0	1	43	172	111	29.24	200.2	64	17.02	233.1	96	10.49	8	5	2.16	1	0
WA	166	408	416-5849	1	1	35	128.2	138	21.79	274.5	113	23.33	298.9	130	13.45	8.8	7	2.38	2	0
FL	79	510	334-7443	0	0	0	130.2	119	22.13	290.9	121	24.73	194.8	140	8.77	14	6	3.78	3	0
VA	153	510	394-9121	0	0	0	195.4	107	33.22	154.6	96	13.14	142.8	97	6.43	11.6	6	3.13	1	0
KS	110	415	383-1657	1	0	0	293.3	79	49.86	188.5	90	16.02	266.9	91	12.01	14.5	4	3.92	0	1
LA	172	415	392-8905	0	0	0	215.7	140	36.67	146.3	84	12.44	264.6	83	11.91	7.1	1	1.92	3	0
DC	126	415	392-5512	0	0	0	161.4	110	27.44	220.6	125	18.75	249.2	78	11.21	5.1	2	1.38	0	0
TX	97	510	351-6384	0	0	0	144.2	91	24.51	226.7	137	19.27	144.6	72	6.51	13.8	4	3.73	3	0
NJ	95	408	348-8015	1	1	37	220.2	109	37.43	185.3	99	15.75	205.1	82	9.23	4.1	2	1.11	0	1
VT	97	415	328-2236	0	0	0	112.7	119	19.16	217.7	109	18.5	152.1	76	6.84	6.5	5	1.76	1	0
GA	76	415	372-6497	0	0	0	299.5	125	50.92	226.7	92	19.27	210.7	134	9.48	13.7	4	3.7	0	1
TX	140	408	417-8617	0	0	0	194.8	107	33.12	170.9	99	14.53	225.1	93	10.13	13.9	4	3.75	0	0
MT	169	415	361-9621	0	0	0	100.8	112	17.14	230	69	19.55	193.6	95	8.71	9.5	2	2.57	0	0
ND	68	408	421-2723	0	1	22	82.5	97	14.03	289.9	94	24.64	180	114	8.1	4.8	4	1.3	3	0
MO	36	408	383-5474	0	0	0	177.9	129	30.24	224.6	87	19.09	306.3	102	13.78	10.8	6	2.92	2	0
KS	121	408	373-5438	0	0	0	150.7	105	25.62	197.3	133	16.77	169	116	7.61	9.2	15	2.48	1	0
MT	13	415	347-9421	0	1	31	265.3	94	45.1	147.6	95	12.55	259.3	117	11.67	12.9	1	3.48	1	0
DE	106	415	419-3167	0	0	0	128.6	83	21.86	134	114	11.39	210.6	113	9.48	11.4	2	3.08	0	0
VA	74	408	416-5341	0	0	0	165.3	120	28.1	198.5	106	16.87	208.5	102	9.38	9.8	3	2.65	1	0
IL	83	415	368-8600	0	0	0	195	92	33.15	210.5	83	17.89	180.6	92	8.13	11	13	2.97	0	0
OK	49	415	336-6085	0	0	0	213.8	79	36.35	265.1	93	22.53	239.8	128	10.79	15.6	7	4.21	0	0
CO	111	510	377-1479	0	1	24	205.5	114	34.94	219.3	99	18.64	215.9	95	9.72	14	4	3.78	1	0
MT	50	415	360-2107	0	1	22	252.9	112	42.99	177.9	99	15.12	158.4	146	7.13	8.5	4	2.3	3	0
WV	153	408	405-9384	0	1	28	235.6	74	40.05	227.9	37	19.37	170.3	103	7.66	15.4	9	4.16	0	0
ME	88	415	420-5179	0	0	0	192	91	32.64	127.6	127	10.85	155.6	125	7	7.5	5	2.03	1	0
WI	131	415	331-3174	0	1	39	69.1	122	11.75	101.3	136	8.61	104.8	94	4.72	9.1	4	2.46	0	0
MO	79	408	411-5958	0	0	0	261.7	97	44.49	210.6	48	17.9	256.7	83	11.55	6	3	1.62	3	1
NY	140	415	333-8180	0	0	0	235.5	81	40.04	257.2	130	21.86	103.1	111	4.64	11.5	4	3.11	2	0
CT	105	408	357-2679	0	0	0	213.4	100	36.28	204.9	52	17.42	179.7	93	8.09	9.5	6	2.57	1	0
AR	54	415	396-2867	0	1	39	206.9	143	35.17	127.8	72	10.86	199.2	120	8.96	9.2	1	2.48	3	0
CA	96	510	341-4103	0	1	31	183.4	126	31.18	195.5	106	16.62	180.1	93	8.1	10.5	5	2.84	1	0
CA	79	510	416-8701	0	0	0	157.6	85	26.79	194.1	92	16.5	231.5	86	10.42	9.4	10	2.54	5	1
MN	55	415	397-6109	0	0	0	175.6	147	29.85	161.8	118	13.75	289.5	55	13.03	9.3	4	2.51	0	0
AK	130	415	392-5587	0	0	0	242.5	101	41.23	102.8	114	8.74	142.4	89	6.41	9.3	2	2.51	2	0
CO	139	415	368-2845	0	0	0	138.1	103	23.48	164.5	100	13.98	134.9	63	6.07	8.3	2	2.24	1	0
SD	65	408	348-7484	0	1	31	282.3	70	47.99	152	89	12.92	225.5	93	10.15	12	4	3.24	1	0
NE	63	415	338-5207	0	0	0	211.2	80	35.9	237.7	93	20.2	259.2	58	11.66	12.3	2	3.32	0	0
ND	147	408	358-8729	0	0	0	205.3	95	34.9	166.7	128	14.17	240.6	84	10.83	7.8	4	2.11	1	0
GA	112	415	349-1943	0	1	22	181.8	110	30.91	228.1	123	19.39	262.7	141	11.82	9.2	4	2.48	2	0
OR	120	415	368-8283	0	0	0	252	120	42.84	150.2	106	12.77	151.8	96	6.83	9.6	1	2.59	2	0
MT	27	510	345-1419	0	0	0	193.8	102	32.95	118.9	104	10.11	135.9	124	6.12	9.2	3	2.48	0	0
WV	32	408	370-7565	0	1	26	266.7	109	45.34	232.3	107	19.75	212.8	98	9.58	16.3	4	4.4	1	0
CT	3	415	401-6162	0	1	36	118.1	117	20.08	221.5	125	18.83	103.9	89	4.68	11.9	6	3.21	2	0
CO	60	408	351-6552	0	0	0	125.1	99	21.27	248.8	62	21.15	211.3	79	9.51	11.2	3	3.02	3	0
LA	43	415	330-2849	0	0	0	241.9	101	41.12	129.4	121	11	264.8	104	11.92	5.9	3	1.59	1	0
MA	42	408	364-6801	0	0	0	241.2	134	41	116.5	114	9.9	152.2	91	6.85	10.6	4	2.86	0	0
IN	84	408	375-3003	0	0	0	217.1	99	36.91	236	68	20.06	118.3	120	5.32	9.4	4	2.54	1	0
TX	75	415	384-2372	1	0	0	222.4	78	37.81	327	111	27.8	208	104	9.36	8.7	9	2.35	1	1
KS	116	510	377-7107	0	0	0	189.5	90	32.22	189.8	118	16.13	205.8	83	9.26	13.1	2	3.54	1	0
WV	107	415	361-1581	0	0	0	123.1	100	20.93	158.4	82	13.46	256.1	82	11.52	9.3	5	2.51	0	0
NE	189	415	417-7888	0	1	38	256.7	98	43.64	150.5	120	12.79	123	87	5.54	11.4	3	3.08	3	0
CO	63	415	408-4530	0	1	32	30.9	113	5.25	187	113	15.9	230.8	101	10.39	8.6	7	2.32	1	0
ME	176	415	408-6621	0	0	0	223.2	76	37.94	214.4	131	18.22	154.4	80	6.95	10.1	2	2.73	3	0
SC	108	510	393-7522	0	0	0	187.4	101	31.86	199.9	126	16.99	216.1	107	9.72	12.6	8	3.4	1	0
CO	71	415	357-4265	0	0	0	277.5	104	47.18	131.8	121	11.2	126.9	101	5.71	8.2	2	2.21	1	0
KS	88	415	398-8801	0	0	0	189.8	111	32.27	197.3	101	16.77	234.5	111	10.55	14.9	3	4.02	2	0
NE	82	408	343-2741	0	0	0	185.8	36	31.59	276.5	134	23.5	192.1	104	8.64	5.7	7	1.54	4	0
WA	63	408	404-9539	0	0	0	149.3	104	25.38	273.6	75	23.26	206.6	72	9.3	9.1	4	2.46	0	0
IA	98	415	338-7886	0	0	0	216.8	86	36.86	190.8	114	16.22	187.5	79	8.44	11	9	2.97	0	0
WV	121	415	332-5596	0	0	0	103.3	110	17.56	129.1	82	10.97	167.1	113	7.52	10.7	3	2.89	0	0
RI	94	415	348-9945	0	0	0	139.4	95	23.7	159.1	92	13.52	128.2	129	5.77	7.7	3	2.08	0	0
KS	99	415	407-1896	0	0	0	191.2	110	32.5	163.9	102	13.93	243.6	114	10.96	14.1	3	3.81	1	0
MT	163	510	398-9408	0	1	23	160	104	27.2	189.4	64	16.1	229.9	118	10.35	10.4	7	2.81	1	0
CO	108	415	400-5984	0	0	0	215.6	78	36.65	195.3	119	16.6	194.4	65	8.75	3.6	5	0.97	1	0
ID	83	415	345-5980	1	1	32	94.7	111	16.1	154.4	98	13.12	200.4	109	9.02	10.6	6	2.86	2	0
TN	69	510	358-1912	0	0	0	195.3	70	33.2	216.7	108	18.42	259.9	119	11.7	12.5	4	3.38	3	0
WY	129	510	379-3132	0	0	0	143.7	114	24.43	297.8	98	25.31	212.6	86	9.57	11.4	8	3.08	4	0
MO	106	415	340-9910	0	0	0	114.4	104	19.45	78.3	101	6.66	232.7	78	10.47	0	0	0	2	0
VA	158	415	396-2719	0	0	0	222.8	101	37.88	203	128	17.26	210.6	106	9.48	6.9	2	1.86	2	0
SD	168	415	369-6204	0	1	22	175.9	70	29.9	211.7	105	17.99	174.5	81	7.85	7.3	5	1.97	2	0
AZ	67	415	404-4481	0	0	0	210.7	116	35.82	219.2	86	18.63	179.7	83	8.09	7.2	6	1.94	1	0
AK	127	408	383-9255	0	0	0	182.3	124	30.99	169.9	110	14.44	184	116	8.28	9.3	3	2.51	1	0
AK	78	510	418-9385	0	0	0	190.3	88	32.35	194.5	89	16.53	256.5	109	11.54	11.7	5	3.16	2	0
UT	103	510	327-3587	0	1	36	87.2	92	14.82	169.3	110	14.39	166.7	80	7.5	10.9	5	2.94	6	1
TN	57	510	337-7739	0	0	0	149.3	100	25.38	200.2	110	17.02	231.7	101	10.43	11.9	3	3.21	2	0
NJ	64	415	405-6943	0	0	0	224.8	111	38.22	190	101	16.15	221.4	110	9.96	9.2	2	2.48	1	0
ME	151	415	352-8249	0	1	26	196.5	98	33.41	175.8	111	14.94	221.8	124	9.98	13.4	5	3.62	0	0
WY	94	510	353-8363	0	0	0	271.2	105	46.1	202.6	105	17.22	221.6	51	9.97	11.5	3	3.11	3	1
WY	90	415	416-2825	0	0	0	207.2	121	35.22	292.5	104	24.86	226.3	103	10.18	8	1	2.16	2	0
IN	48	510	342-6696	0	0	0	300.4	94	51.07	133.2	103	11.32	197.4	94	8.88	7.2	5	1.94	2	0
NJ	93	415	328-1768	1	1	20	187.5	110	31.88	169.8	94	14.43	175.3	127	7.89	12.1	4	3.27	1	0
DC	169	415	406-5870	1	0	0	57.1	98	9.71	199.7	78	16.97	274.7	103	12.36	6.5	6	1.76	3	0
KS	68	510	414-9054	0	0	0	159.5	123	27.12	240.8	93	20.47	210.3	76	9.46	11.4	3	3.08	1	0
UT	67	510	414-9027	0	1	20	230.6	40	39.2	189.1	58	16.07	162.2	115	7.3	9.4	2	2.54	1	0
NE	66	415	337-1225	0	0	0	34	133	5.78	278.6	61	23.68	129.6	120	5.83	11.5	3	3.11	0	0
FL	116	415	394-6577	0	1	17	193.4	112	32.88	240.6	131	20.45	248.1	98	11.16	11.4	3	3.08	5	0
LA	158	408	359-6995	0	0	0	202	126	34.34	163.5	86	13.9	195.4	84	8.79	10.4	6	2.81	1	0
WA	119	415	380-6631	0	1	26	161.3	97	27.42	250.3	110	21.28	142.4	92	6.41	6.6	8	1.78	1	0
MI	120	415	390-8876	0	0	0	150.6	85	25.6	119	128	10.12	232.9	123	10.48	6.4	2	1.73	1	0
KY	155	510	413-2201	0	0	0	184.6	102	31.38	196	117	16.66	226.5	122	10.19	7.8	1	2.11	1	0
LA	106	408	374-2073	0	0	0	220.7	120	37.52	270.2	95	22.97	121.6	113	5.47	8.7	5	2.35	1	0
NM	87	510	417-1272	1	0	0	167.3	119	28.44	198.5	119	16.87	133.1	88	5.99	11	6	2.97	1	0
AL	146	415	358-1129	0	1	32	154	80	26.18	185.5	91	15.77	148.2	107	6.67	8.2	4	2.21	3	0
MO	101	415	394-1211	0	1	29	121.1	116	20.59	186.4	100	15.84	241.7	75	10.88	10.1	6	2.73	0	0
CO	22	510	327-1319	0	1	23	182.1	94	30.96	164.6	59	13.99	128.8	102	5.8	12.7	4	3.43	3	0
TX	90	415	399-4413	0	0	0	109.6	88	18.63	137.6	108	11.7	159.7	121	7.19	11	5	2.97	2	0
UT	112	415	358-5953	0	0	0	115.8	108	19.69	243.3	111	20.68	184.6	78	8.31	13.1	5	3.54	1	0
NV	136	415	416-5261	0	1	21	179.4	88	30.5	181.1	97	15.39	320.7	120	14.43	9.5	4	2.57	2	0
NC	128	510	417-5067	0	0	0	187.3	84	31.84	270.8	95	23.02	206.4	68	9.29	10.1	5	2.73	1	0
NC	27	408	345-6515	0	0	0	201.2	128	34.2	227.2	100	19.31	145.8	91	6.56	8.4	3	2.27	2	0
WY	161	415	406-1349	1	0	0	189.6	78	32.23	267.4	117	22.73	184.5	137	8.3	1.3	6	0.35	1	0
TN	33	415	360-9038	0	1	35	186.8	124	31.76	261	69	22.19	317.8	103	14.3	15	5	4.05	0	0
FL	120	415	348-3444	0	1	31	153.5	83	26.1	219.1	96	18.62	237.4	76	10.68	11.4	4	3.08	0	0
CA	113	415	370-2892	0	0	0	187.6	97	31.89	208.2	118	17.7	158.9	101	7.15	8.7	6	2.35	2	0
PA	122	415	383-4061	1	0	0	230.9	132	39.25	243.2	99	20.67	182.4	57	8.21	11	2	2.97	0	1
WV	148	415	391-7937	0	1	26	244.9	150	41.63	118	138	10.03	236	91	10.62	15.2	4	4.1	2	0
ID	77	510	356-3403	0	0	0	189.5	112	32.22	207	95	17.6	214.1	91	9.63	9.2	7	2.48	0	0
